"El municipio en cifras"
"080193: Barcelona (Barcelonès)"
https://www.idescat.cat/emex/?id=080193&lang=es
"Instituto de Estadística de Cataluña"

tema,temaid,tabla,tablaid,concepto,conceptoid,tiempo,unidad,fuente,valormun,valorcom,valorcat
Territorio,g173,"Indicadores geográficos",t176,Superficie,f271,2022,km²,,101.35,145.75,32108.00
Territorio,g173,"Indicadores geográficos",t176,Altitud,f258,2013,m,,13,,
Territorio,g173,"Indicadores geográficos",t176,Longitud,f328,2013,º,,2.178389,,
Territorio,g173,"Indicadores geográficos",t176,Latitud,f329,2013,º,,41.383531,,
Territorio,g173,"Indicadores geográficos",t176,"Coordenadas UTM x",f259,2013,m,,431300,,
Territorio,g173,"Indicadores geográficos",t176,"Coordenadas UTM y",f260,2013,m,,4581740,,
Población,g168,"Densidad de población",t192,Superficie,f261,2022,km²,,101.35,145.75,32108.00
Población,g168,"Densidad de población",t192,Densidad,f262,2022,hab./km²,,16144.0,15643.5,242.7
Población,g168,"Población. Por sexo",t195,Hombres,f318,2022,,"Idescat, a partir del Padrón continuo del INE.",778674,1093605,3833786
Población,g168,"Población. Por sexo",t195,Mujeres,f320,2022,,"Idescat, a partir del Padrón continuo del INE.",857519,1186437,3958825
Población,g168,"Población. Por sexo",t195,Total,f321,2022,,"Idescat, a partir del Padrón continuo del INE.",1636193,2280042,7792611
Población,g168,"Población. Por grupos de edad",t25,"De 0 a 14 años",f167,2022,,"Idescat, a partir del Padrón continuo del INE.",193684,286169,1119768
Población,g168,"Población. Por grupos de edad",t25,"De 15 a 64 años",f27,2022,,"Idescat, a partir del Padrón continuo del INE.",1093068,1517902,5171048
Población,g168,"Población. Por grupos de edad",t25,"De 65 a 84 años",f28,2022,,"Idescat, a partir del Padrón continuo del INE.",279521,386548,1245368
Población,g168,"Población. Por grupos de edad",t25,"De 85 años y más",f29,2022,,"Idescat, a partir del Padrón continuo del INE.",69920,89423,256427
Población,g168,"Población. Por grupos de edad",t25,Total,f171,2022,,"Idescat, a partir del Padrón continuo del INE.",1636193,2280042,7792611
Población,g168,"Población. Por grupos de edad. Hombres",t31,"De 0 a 14 años",f176,2022,,"Idescat, a partir del Padrón continuo del INE.",99669,147217,576192
Población,g168,"Población. Por grupos de edad. Hombres",t31,"De 15 a 64 años",f33,2022,,"Idescat, a partir del Padrón continuo del INE.",539290,753373,2611918
Población,g168,"Población. Por grupos de edad. Hombres",t31,"De 65 a 84 años",f34,2022,,"Idescat, a partir del Padrón continuo del INE.",117912,164468,560355
